,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,np_classifier_class
113,412.2249741239999,5,0,5.513800000000006,65.74000000000001,0.52,3,5,6,Simple coumarins
114,366.1467238039999,5,1,4.489700000000004,64.99000000000001,0.22727272727272727,3,5,5,Chalcones
115,376.152203108,7,1,1.6047999999999996,99.13000000000002,0.55,3,7,3,Germacrane sesquiterpenoids
116,506.3032244439999,5,0,6.130200000000007,69.67,0.71875,6,5,4,Guaiane sesquiterpenoids
117,254.0579088,4,2,2.8712000000000013,70.67,0.0,3,4,1,Flavones
118,366.21949481999997,3,0,6.591000000000006,39.44,0.375,2,3,9,Simple coumarins
119,400.2249741239999,5,2,4.136200000000003,79.89999999999999,0.625,4,5,3,Simple coumarins
120,250.156894564,3,1,2.6015000000000006,46.53,0.6666666666666666,2,3,3,Germacrane sesquiterpenoids
121,274.08412354800004,5,0,2.2094000000000005,73.58,0.26666666666666666,2,5,4,Simple coumarins
122,270.05282342000004,5,3,2.576800000000001,90.9,0.0,3,5,1,Flavones
123,436.1369469679999,10,3,-0.2558000000000009,148.82,0.6666666666666666,5,10,2,Germacrane sesquiterpenoids
124,336.15728848799995,6,1,2.5287000000000006,78.13,0.5,2,6,7,Simple coumarins
125,422.1729385519999,6,4,5.299800000000007,111.13000000000001,0.24,3,6,5,Flavones
126,324.13615911999995,4,2,4.338900000000005,66.76,0.15,2,4,6,Chalcones
127,278.0579088,4,1,3.911800000000002,63.58,0.0,4,4,1,Flavones
128,338.079038168,6,1,3.951900000000003,78.13000000000001,0.10526315789473684,4,6,4,Chalcones
129,270.089208928,4,2,3.0025000000000013,66.75999999999999,0.0625,2,4,4,Chalcones
130,250.156894564,3,1,2.291300000000001,46.53,0.8,3,3,0,Guaiane sesquiterpenoids
131,362.172938552,6,1,2.2207,85.36000000000001,0.6,3,6,2,Germacrane sesquiterpenoids
132,308.14124449999997,3,2,4.502600000000004,57.53,0.15,2,3,5,Chalcones
133,328.13107374,5,0,3.6171000000000024,53.99000000000001,0.21052631578947367,2,5,7,Chalcones
134,408.1936739959999,5,3,5.5296000000000065,86.99000000000001,0.32,3,5,7,Chalcones
135,230.130679816,2,0,3.9996200000000037,30.21,0.4,2,2,0,Germacrane sesquiterpenoids
136,264.13615912,4,2,1.1821999999999997,66.76,0.6666666666666666,3,4,0,Guaiane sesquiterpenoids
137,398.113230756,7,2,0.8525999999999996,105.59000000000002,0.6842105263157895,4,8,2,Guaiane sesquiterpenoids
138,296.12598836,6,3,-0.4917,99.52000000000001,0.8,4,6,0,Guaiane sesquiterpenoids
